REGION|LOCALITY|POST_CODE|VALUE_AUD|PERIOD
New South Wales|BOREE|2864|$nan|6/2017
New South Wales|MAFFRA|2630|$280,000|6/2017
New South Wales|MOUNT CRYSTAL|2665|$95,500|6/2017
New South Wales|DANGAR ISLAND|2083|$nan|6/2017
New South Wales|WOLLONGONG|2500|$620,000|6/2017
New South Wales|YARRAHAPINNI|2441|$385,000|6/2017
New South Wales|HUSKISSON|2540|$520,000|6/2017
New South Wales|SOUTH BATHURST|2795|$407,500|6/2017
New South Wales|WENTWORTH|2648|$174,000|6/2017
New South Wales|MIHI|2358|$285,000|6/2017
New South Wales|MULBRING|2323|$414,500|6/2017
New South Wales|WONDABYNE|2256|$656,000|6/2017
New South Wales|ROSEVILLE CHASE|2069|$2,510,000|6/2017
New South Wales|PEAKHURST HEIGHTS|2210|$1,075,000|6/2017
New South Wales|TULLARWALLA|2540|$520,000|6/2017
New South Wales|PENRITH|2750|$667,000|6/2017
New South Wales|MINORE|2830|$340,000|6/2017
New South Wales|ALBURY|2640|$335,000|6/2017
New South Wales|CORRONG|2711|$122,000|6/2017
New South Wales|BATHURST|2795|$407,500|6/2017
New South Wales|RIXS CREEK|2330|$397,500|6/2017
New South Wales|WEST WOLLONGONG|2500|$620,000|6/2017
New South Wales|MAFFRA|2630|$280,000|6/2017
New South Wales|SANDY GULLY|2729|$nan|6/2017
New South Wales|CARROLLS CREEK|2372|$255,000|6/2017
New South Wales|COLYTON|2760|$600,000|6/2017
New South Wales|WELLINGTON|2820|$180,000|6/2017
New South Wales|MOONEE|2259|$590,000|6/2017
New South Wales|WIRRABA|2849|$nan|6/2017
New South Wales|MALONEYS BEACH|2536|$435,000|6/2017
New South Wales|TARA|2665|$95,500|6/2017
New South Wales|TACOMA|2259|$590,000|6/2017
New South Wales|KENTUCKY|2354|$450,000|6/2017
New South Wales|REIDSDALE|2622|$555,000|6/2017
New South Wales|HUNTERS HILL|2110|$2,200,000|6/2017
New South Wales|TULLYMORGAN|2463|$406,000|6/2017
New South Wales|BAGO|2446|$473,000|6/2017
New South Wales|SHOALHAVEN HEADS|2535|$657,500|6/2017
New South Wales|BOOTHENBA|2830|$340,000|6/2017
New South Wales|RODD POINT|2046|$1,365,000|6/2017
New South Wales|PENROSE|2530|$600,000|6/2017
New South Wales|BAGO|2446|$473,000|6/2017
New South Wales|COBARGO|2550|$419,000|6/2017
New South Wales|CLYDESDALE|2330|$397,500|6/2017
New South Wales|LEE CREEK|2849|$nan|6/2017
New South Wales|BRADBURY|2560|$593,000|6/2017
New South Wales|QUAKERS HILL|2763|$772,500|6/2017
New South Wales|EAST KANGALOON|2576|$1,135,560|6/2017
New South Wales|MIDGINBIL|2484|$515,000|6/2017
New South Wales|FINE FLOWER|2460|$321,000|6/2017
New South Wales|GOULBURN|2580|$418,630|6/2017
New South Wales|KYNNUMBOON|2484|$515,000|6/2017
New South Wales|FERNSIDE|2480|$389,000|6/2017
New South Wales|ARIAH PARK|2665|$95,500|6/2017
New South Wales|LISAROW|2250|$620,000|6/2017
New South Wales|SHORTLAND|2307|$437,500|6/2017
New South Wales|WIRRABA|2849|$nan|6/2017
New South Wales|TUGGERAWONG|2259|$590,000|6/2017
New South Wales|DUBBO EAST|2830|$340,000|6/2017
New South Wales|BANGADILLY|2577|$753,000|6/2017
New South Wales|NEWCASTLE EAST|2300|$640,000|6/2017
New South Wales|HMAS RUSHCUTTERS|2027|$1,915,000|6/2017
New South Wales|TOOLIJOOA|2534|$895,000|6/2017
New South Wales|TAMWORTH|2340|$333,000|6/2017
New South Wales|BANDON|2871|$254,000|6/2017
New South Wales|CLYDESDALE|2330|$397,500|6/2017
New South Wales|BERKELEY|2506|$530,250|6/2017
New South Wales|NORTH WOLLONGONG|2500|$620,000|6/2017
New South Wales|CHATSWOOD|2067|$1,187,000|6/2017
New South Wales|NEWBRIDGE|2795|$407,500|6/2017
New South Wales|HUNTERVIEW|2330|$397,500|6/2017
New South Wales|STANWELL PARK|2508|$912,500|6/2017
New South Wales|BANGADILLY|2577|$753,000|6/2017
New South Wales|BEEMUNNEL|2824|$nan|6/2017
New South Wales|SPICKETTS CREEK|2455|$405,000|6/2017
New South Wales|BELLBIRD|2325|$342,000|6/2017
New South Wales|ERMINGTON|2115|$1,260,000|6/2017
New South Wales|DEVILS HOLE|2550|$419,000|6/2017
New South Wales|DEEP CREEK|2440|$329,000|6/2017
New South Wales|GULMARRAD|2463|$406,000|6/2017
New South Wales|BERKELEY|2506|$530,250|6/2017
New South Wales|ROSE BAY|2029|$1,500,000|6/2017
New South Wales|ULMARRA|2462|$nan|6/2017
New South Wales|COBAR|2835|$181,000|6/2017
New South Wales|WAGGA WAGGA SOUTH|2650|$344,500|6/2017
New South Wales|BELOKA|2628|$nan|6/2017
New South Wales|SILVERDALE|2752|$1,040,000|6/2017
New South Wales|WOKO|2422|$340,560|6/2017
New South Wales|JONES ISLAND|2430|$397,000|6/2017
New South Wales|COMMISSIONERS CREEK|2484|$515,000|6/2017
New South Wales|THARWA|2620|$450,000|6/2017
New South Wales|LAKE CONJOLA|2539|$584,600|6/2017
New South Wales|MURRUMBO|2849|$nan|6/2017
New South Wales|LEUMEAH|2560|$593,000|6/2017
New South Wales|MELROSE PARK|2114|$861,000|6/2017
New South Wales|BOCOBRA|2865|$nan|6/2017
New South Wales|KINCHELA|2440|$329,000|6/2017
New South Wales|WARREGAH ISLAND|2469|$255,000|6/2017
New South Wales|GILLETTS RIDGE|2462|$nan|6/2017
New South Wales|NEWBRIDGE|2795|$407,500|6/2017
New South Wales|WEST WOLLONGONG|2500|$620,000|6/2017
New South Wales|ALLEENA|2671|$165,000|6/2017
New South Wales|MYRTLE MOUNTAIN|2550|$419,000|6/2017
New South Wales|MOGGS SWAMP|2370|$227,500|6/2017
New South Wales|MURRUMBURRAH|2587|$nan|6/2017
New South Wales|BIG SPRINGS|2650|$344,500|6/2017
New South Wales|MOLLYMOOK|2539|$584,600|6/2017
New South Wales|EAST TAMWORTH|2340|$333,000|6/2017
New South Wales|ATHOLWOOD|2361|$nan|6/2017
New South Wales|LECONFIELD|2335|$395,000|6/2017
New South Wales|CORAKI|2471|$nan|6/2017
New South Wales|YARRATT FOREST|2429|$320,000|6/2017
New South Wales|SANDY GULLY|2729|$nan|6/2017
New South Wales|LURNEA|2170|$678,000|6/2017
New South Wales|YANGA|2711|$122,000|6/2017
New South Wales|BRIGHTON-LE-SANDS|2216|$740,000|6/2017
New South Wales|POSSUM BRUSH|2430|$397,000|6/2017
New South Wales|SILVERTON|2880|$95,000|6/2017
New South Wales|WOY WOY|2256|$656,000|6/2017
New South Wales|TULLYMORGAN|2463|$406,000|6/2017
New South Wales|FINE FLOWER|2460|$321,000|6/2017
New South Wales|BASIN VIEW|2540|$520,000|6/2017
New South Wales|DARUKA|2340|$333,000|6/2017
New South Wales|WARUMBUL|2229|$1,225,000|6/2017
New South Wales|SOUTH GRAFTON|2460|$321,000|6/2017
New South Wales|BRINERVILLE|2441|$385,000|6/2017
New South Wales|ILARWILL|2463|$406,000|6/2017
New South Wales|TIMBUMBURI|2340|$333,000|6/2017
New South Wales|HEXHAM|2322|$493,000|6/2017
New South Wales|WERRINGTON|2747|$650,000|6/2017
New South Wales|WANDERA|2360|$251,000|6/2017
New South Wales|ABERMAIN|2326|$317,500|6/2017
